('08', '19', '39'):2
('08', '25', '39'):3
('08', '38', '39'):6
('10', '19', '25'):6
('10', '19', '38'):5
('10', '19', '39'):5
('10', '25', '38'):8
('10', '25', '39'):3
('10', '38', '39'):9
('19', '25', '38'):6
('19', '25', '39'):4
('17', '18', '21'):5
('17', '18', '22'):4
('17', '18', '23'):6
('17', '18', '44'):4
('17', '21', '22'):1
('17', '21', '23'):7
('17', '21', '44'):4
('17', '22', '23'):4
('17', '22', '44'):6
('17', '23', '44'):4
('18', '21', '22'):4
('18', '21', '23'):5
('18', '21', '44'):3
('18', '22', '23'):11
('18', '22', '44'):5
('18', '23', '44'):6
('21', '22', '23'):2
('21', '22', '44'):9
('21', '23', '44'):3
('22', '23', '44'):6
('01', '06', '11'):6
('01', '06', '12'):5
('01', '06', '16'):5
('01', '06', '26'):7
('01', '11', '12'):5
('01', '11', '16'):9
('01', '11', '26'):10
('01', '12', '16'):8
('01', '12', '26'):7
('01', '16', '26'):8
('06', '11', '12'):5
('06', '11', '16'):5
('06', '11', '26'):5
('06', '12', '16'):3
('06', '12', '26'):3
('06', '16', '26'):5
('11', '12', '16'):4
('11', '12', '26'):5
('11', '16', '26'):4
('12', '16', '26'):5
('06', '27', '28'):4
('06', '27', '32'):8
('06', '27', '38'):6
('06', '27', '45'):4
('06', '28', '32'):8
('06', '28', '38'):6
('06', '28', '45'):11
('06', '32', '38'):7
('06', '32', '45'):9
('06', '38', '45'):8
('27', '28', '32'):3
('27', '28', '38'):2
('27', '28', '45'):3
('27', '32', '38'):4
('27', '32', '45'):6
('27', '38', '45'):6
('28', '32', '38'):5
('28', '32', '45'):6
('28', '38', '45'):7
('32', '38', '45'):3
('12', '21', '23'):6
('12', '21', '30'):6
('12', '21', '40'):7
('12', '21', '49'):3
('12', '23', '30'):5
('12', '23', '49'):5
('12', '30', '40'):7
('12', '30', '49'):5
('12', '40', '49'):5
('21', '23', '30'):3
('21', '23', '40'):4
('21', '23', '49'):3
('21', '30', '40'):9
('21', '30', '49'):2
('21', '40', '49'):3
('23', '30', '40'):4
('23', '30', '49'):3
('23', '40', '49'):4
('30', '40', '49'):8
('02', '04', '12'):4
('02', '04', '21'):5
('02', '04', '40'):6
('02', '04', '45'):4
('02', '12', '21'):3
('02', '12', '40'):6
('02', '12', '45'):4
('02', '21', '40'):5
('02', '21', '45'):6
('02', '40', '45'):9
('04', '12', '21'):3
('04', '12', '40'):4
('04', '12', '45'):7
('04', '21', '40'):4
('04', '21', '45'):4
('12', '21', '45'):4
('12', '40', '45'):9
('21', '40', '45'):4
('01', '13', '23'):4
('01', '13', '29'):2
('01', '13', '37'):2
('01', '23', '29'):4
('01', '23', '37'):6
('01', '23', '47'):8
('01', '29', '37'):3
('01', '29', '47'):4
('01', '37', '47'):3
('13', '23', '29'):4
('13', '23', '37'):5
('13', '23', '47'):6
('13', '29', '37'):7
('13', '29', '47'):1
('13', '37', '47'):1
('23', '29', '37'):6
('23', '29', '47'):10
('23', '37', '47'):3
('29', '37', '47'):6
('18', '26', '30'):5
('18', '26', '33'):1
('18', '26', '39'):5
('18', '26', '41'):3
('18', '30', '33'):5
('18', '30', '39'):5
('18', '30', '41'):6
('18', '33', '39'):9
('18', '33', '41'):5
('18', '39', '41'):4
('26', '30', '33'):4
('26', '30', '39'):10
('26', '30', '41'):7
('26', '33', '39'):2
('26', '33', '41'):5
('26', '39', '41'):11
('30', '33', '39'):4
('30', '33', '41'):6
('30', '39', '41'):6
('33', '39', '41'):7
('05', '11', '23'):4
('05', '11', '25'):3
('05', '11', '46'):5
('05', '23', '25'):6
('05', '23', '29'):3
('05', '23', '46'):7
('05', '25', '29'):2
('05', '25', '46'):6
('05', '29', '46'):3
('11', '23', '25'):3
('11', '23', '29'):5
('11', '23', '46'):4
('11', '25', '29'):5
('11', '25', '46'):3
('11', '29', '46'):2
('23', '25', '29'):5
('23', '25', '46'):5
('23', '29', '46'):3
('25', '29', '46'):5
('02', '21', '22'):6
('02', '21', '28'):7
('02', '21', '46'):6
('02', '22', '28'):4
('02', '22', '45'):2
('02', '22', '46'):5
('02', '28', '45'):6
('02', '28', '46'):5
('02', '45', '46'):4
('21', '22', '28'):8
('21', '22', '45'):1
('21', '22', '46'):7
('21', '28', '45'):4
('21', '28', '46'):9
('21', '45', '46'):5
('22', '28', '45'):5
('22', '28', '46'):8
('22', '45', '46'):4
('28', '45', '46'):8
('01', '17', '22'):2
('01', '17', '31'):9
('01', '17', '38'):9
('01', '17', '45'):6
('01', '22', '31'):5
('01', '22', '38'):4
('01', '22', '45'):4
('01', '31', '38'):4
('01', '31', '45'):3
('01', '38', '45'):5
('17', '22', '31'):5
('17', '22', '38'):4
('17', '22', '45'):4
('17', '31', '38'):3
('17', '31', '45'):2
('17', '38', '45'):4
('22', '31', '38'):7
('22', '31', '45'):5
('22', '38', '45'):5
('31', '38', '45'):5
('02', '06', '26'):3
('02', '06', '35'):4
('02', '06', '38'):6
('02', '06', '46'):6
('02', '26', '35'):3
('02', '26', '38'):5
('02', '26', '46'):6
('02', '35', '38'):3
('02', '35', '46'):1
('02', '38', '46'):5
('06', '26', '35'):4
('06', '26', '38'):4
('06', '26', '46'):4
('06', '35', '38'):4
('06', '35', '46'):4
('06', '38', '46'):6
('26', '35', '38'):4
('26', '35', '46'):6
('26', '38', '46'):5
('35', '38', '46'):8
('01', '10', '19'):3
('01', '10', '21'):5
('01', '10', '24'):5
('01', '10', '32'):7
('01', '19', '21'):4
('01', '19', '24'):3
('01', '19', '32'):3
('01', '21', '24'):5
('01', '21', '32'):8
('01', '24', '32'):4
('10', '19', '21'):4
('10', '19', '24'):8
('10', '19', '32'):2
('10', '21', '24'):8
('10', '21', '32'):2
('10', '24', '32'):7
('19', '21', '24'):4
('19', '21', '32'):6
('19', '24', '32'):6
('21', '24', '32'):6
('07', '20', '30'):7
('07', '20', '34'):3
('07', '20', '45'):3
('07', '20', '48'):2
('07', '30', '34'):5
('07', '30', '45'):6
('07', '30', '48'):6
('07', '34', '45'):5
('07', '34', '48'):3
('07', '45', '48'):7
('20', '30', '34'):4
('20', '30', '45'):2
('20', '30', '48'):4
('20', '34', '45'):8
('20', '34', '48'):1
('20', '45', '48'):4
('30', '34', '45'):4
('30', '34', '48'):11
('30', '45', '48'):2
('34', '45', '48'):5
('02', '18', '30'):7
('02', '18', '31'):6
('02', '18', '34'):3
('02', '18', '43'):5
('02', '30', '31'):6
('02', '30', '34'):5
('02', '31', '34'):3
('02', '31', '43'):5
('02', '34', '43'):3
('18', '30', '31'):8
('18', '30', '34'):3
('18', '30', '43'):4
('18', '31', '34'):4
('18', '31', '43'):7
('18', '34', '43'):6
('30', '31', '34'):6
('30', '31', '43'):5
('30', '34', '43'):6
('31', '34', '43'):6
('02', '08', '18'):4
('02', '08', '35'):2
('02', '08', '48'):4
('02', '08', '49'):2
('02', '18', '35'):6
('02', '18', '48'):4
('02', '18', '49'):2
('02', '35', '48'):7
('02', '35', '49'):3
('02', '48', '49'):5
('08', '18', '35'):4
('08', '18', '48'):3
('08', '18', '49'):7
('08', '35', '48'):1
('08', '35', '49'):6
('08', '48', '49'):5
('18', '35', '48'):6
('18', '35', '49'):8
('18', '48', '49'):5
('35', '48', '49'):5
('06', '25', '32'):8
('06', '25', '38'):5
('06', '25', '43'):9
('06', '25', '47'):2
('06', '32', '43'):9
('06', '32', '47'):9
('06', '38', '43'):6
('06', '38', '47'):4
('06', '43', '47'):5
('25', '32', '38'):7
('25', '32', '43'):2
('25', '32', '47'):5
('25', '38', '43'):3
('25', '38', '47'):5
('25', '43', '47'):3
